,Description
180,"March 2021 . A group of Chinese hackers used Facebook to send malicious links to Uyghur   activists, journalists, and dissidents located abroad. "
181,March 2021 . The Indian Computer Emergency Response Team found evidence of Chinese hackers conducting a cyber espionage campaign against the Indian transportation sector . 
182,March 2021 . Polish security services announced that suspected Russian hackers briefly took over the websites of Poland’s National Atomic Energy Agency and Health Ministry to spread false alerts of a nonexistent radioactive threat . 
183,"March 2021. Both Russian and Chinese intelligence services targeted the European Medicines Agency in 2020 in unrela ted campaigns , stealing documents relating to COVID -19 vaccines and medicines . "
184,March 2021 . Ukraine’s State Security Service announced it had prevented a large -scale attack by Russian FSB hackers attempting to gain access to classified government data . 
185,March 2021. Lithuania’s State Security Department declared that Russian hackers had targeted top Lithuanian officials in 2020 and used the country’s IT infrastructure to carry o ut attacks against organizations involved in developing a C OVID -19 vaccine . 
186,"March 2021. Suspected Iranian hackers targeted government agencies, academia, and the tourism industry in Azerbaijan, Bahrain, Israel, Saudi Arabia, and the UAE as part of a cyber espionage campaign. "
187,"March 2021 . Chinese government hackers targeted Microsoft’s enterprise email software to steal data from over 30,000 organizations around the world, including government agencies, legislative bodies , law firms, defense contractors, infectious disease researchers, and policy think tanks. "
188,March 2021 . Suspected Chinese hackers targeted electricity grid operators in India in an apparent attempt to lay the groundwork for possible future attacks. 
189,"February 2021 . A Portuguese -speaking c yber criminal group accessed computer systems at a division of Oxford University researching COVID -19 vaccines , and are suspected to be selling the data they collected to nation states . "
190,February 2021 . North Korean hackers targeted defense firms in more than a dozen countries in an espionage campaign st arting in early 2020 . 
191,February 2021 . Hackers associated with the Chinese military conducted a surveillance campaign against Tibetans both in China and abroad . 
192,February 2021 . Russian hackers compromised a Ukrainian government file -sharing system and   attempted to disseminate malicious documents that would install malware on computers that downloaded the planted files . 
193,"February 2021 . Hackers linked to the Vietnamese government conducted a nearly thre e-year cyber espionage campaign against human rights advocates in the country by using spyware to infiltrate individuals’ systems, spy on their activity, and exfiltrate data. "
194,February 2021 . Ukrainian officials reported that a multi -day distributed denial -of-service attack against the website of the Security Service of Ukraine was part of Russia’s hybrid warfare operations in the country . 
195,February 2021 . The US Department of Justice indicted three North Korean hackers for conspiring to steal and extort more than $1.3 billion in cash and cryptocurrencies . 
196,"February 2021 . Iranian hackers took control of a server in Amsterdam and used it as a command and control center for attacks agains t political opponents in the Netherlands, Germany, Sweden, and India . "
197,February 2021. North Korean hackers attempted to break into the computer systems of pharmaceutical company Pfizer to gain information about vaccines and treatments for the COVID -19. 
198,February 2021 . Suspected Iranian hackers targeted government agencies in the UAE as part of a cyber espionage campaign related to the normalizations of relations with Israel . 
199,"February 2021 . The French national cybersecurity agency announced that a four -year campaign against French IT providers was the work of a Russian hacking group . Februa ry 2021 . Suspected Indian hackers targeted over 150 individuals in Pakistan, Kazakhstan, and India using mobile malware, including those wi th links to the Pakistan Atomic Energy Commission, the Pakistan Air Force, and election officials in Kashmir. "
200,"February 2021 . Ten members of a cybercriminal gang w ere arrested after a campaign where they tricked telecom companies into assigning celebrities’ phone numbers to new devices , stealing more than $100 million worth of cryptocurrencies . "
201,"February 2021. Unkn own hackers attempted to raise levels of sodium hydroxide in the water supply of Oldsmar, Florida by a factor of 100 by exploiting a remote access system . "
202,"February 2021. Two Iranian hacking groups conducted espionage campaigns against Iranian dissidents in sixteen countries in the Middle East, Europe, South Asia, and North America . "
203,"January 2021 . Hackers linked to Hezbollah breached telecom companies, internet service   providers , and hosting providers in the US, UK, Egypt, Israel, Lebanon, Jordan, Saudi Arabia, the UAE, and the Palestinian Authority for intelligence gathering and data theft . "
204,January 2021 . North Korean government hackers engaged in a sophisticated social engineering campaign against cyber security researchers that used multiple fake twitter accounts and a fake blog to drive targets to infected sites or induce them to open infected attachmen ts in emails asking the target to collaborate on a research project . 
205,"January 2021. Suspected Indian hackers active since 2012 were attacked business and governments across South and East Asia, with a particular emphasis on military and government organizations in Pakistan, China, Nepal, and Afghanistan, and businesses involved in defense technology, scientific research, finance, energy, and m ining. "
206,January 2021. Unidentified hackers breached one of the data centers of New Zealand’s central bank. 
207,"January 2021. Hackers linked to the Chinese government were responsible for ransomware attacks against five major gaming and gambling countries, de manding over $100 million in ransom. "
208,"December 2020. On Christmas Eve, hackers hit the Scottish Environment Protection Agency with a ransomware attack. After deciding not to pay the ransom, the hackers published the data that had been stolen. "
209,"December 2020. Iranian state hackers used a Christmas theme for a spearphishing campaign targeting think tanks, research organizations, academics, journalists, and activists in the Persian Gulf, EU, and US . "
210,"December 2020 . Chinese hackers targeted the Finnish parliament, breaching the email accounts of parliament members and other employees . "
211,December 2020 . African Union staff found that Chinese hackers had been siphoning off security footage from cameras installed in the AU headquarters . 
212,"December 2020 . One Saudi hacking group , One UAE hacking group, and two unknown government -sponsored hacking groups used spyware purchased from the Israeli vendor NSO Group to hack 36 phones belonging to Al Jazeera employees. "
213,December 2020 . Facebook found that two groups of Russians and one group of individuals affiliated with the French military were using fake Facebook accounts to conduct dueling political information operations in Africa. 
214,December 2020 . More than 40 Israeli companies had data stolen after Iranian hackers   compromised a developer of logistics management software and used their access to exfiltrate data from the firm’s clients . 
215,"December 2020 . Unknown state -sponsored hackers took advantage of territory disputes between China, India, Nepal, and Pakistan to target government and military organizations across South Asia, including the Nepali Army and Ministries of Defense and Foreign Affairs, the Sri Lankan Ministry of Defense, and the Afghan National security Council and Presidential Palace. "
216,"December 2020 . Facebook announced that its use rs had been targeted by two hacking campaigns, one originating from state -sponsored Vietnamese hackers focused on spreading malware, and the other from two non -profit groups in Bangladesh focused on compromising accounts and coordinating the reporting of accounts and pages for removal . "
217,December 2020 . Suspected Chinese hackers targeted government agencies and the National Data Center of Mongolia as part of a phishing campaign . 
218,December 2020 . Hackers accessed data related to the C OVID -19 vacci ne being developed by Pfizer during an attack on the European Medicines Agency. 
219,December 2020 . Over 200 organizations around the world —including multiple US government agencies —were revealed to have been breached by Russian hackers who compromised the software provider SolarWinds and exploited their access to monitor internal operations and exfiltrate data . 
220,"December 2020 . A criminal group targeted the Israeli insurance company Shirbit with ransomware, demanding almost $1 million in bitcoin . The hackers published some sensitive personal information after making their demands and threatened to reveal more if they did not receive payment. "
221,December 2020 . CISA and the FBI announced that U.S. think tanks focusing on national security and internat ional affairs were being targeted by state -sponsored hacking groups . 
222,December 2020 . Suspected state-sponsored hackers from an unknown country conducted a spear phishing campaign against organizations in six countries involved in providing special temperature -controlled environments to support the C OVID -19 supply chain. 
223,"November 2020 . A Mexican facility owned by Foxconn was hit by a ransomware attack that the hackers claim resulte d in 1,200 servers being encrypted, 20 -30 TB of backups being deleted, and 100 GB of encrypted files being stolen. "
224,November 2020 . North Korean hackers targeted COVID -19 vaccine developer AstraZeneca by posing as recruiters and sending the company’s employees fake job offers that included malware . 
225,"November 2020 . Chinese hackers targeted Japanese organizations in multiple industry sectors located in multiple regions around the globe, including North America, Europe, Asia, and the Middle East.   "
226,November 2020 . Suspected Chinese government hackers conducted a cyber espionage campaign from 2018 to 2020 targeting government orga nizations in Southeast Asia . 
227,November 2020 . A North Korean hacking group engaged in software supply chain attacks against South Korean internet users by compromising legitimate South Korean security software . 
228,November 2020 . One Russian and two North Korean hacking groups launched attacks against seven companies involved in COVID -19 vaccine research . 
229,"November 2020 . A group of hackers for hire launched attacks against a group of targets in South Asia, and particularly India, Bangladesh, and Singapore. These attacks included the use of a custom backdoor and crede ntial theft . "
230,"November 2020 . A group of Vietnamese hackers created and maintained a number of fake websites devoted to news and activism in Southeast Asia that were used to profile users, re-direct to phishing pages, and distribute malware . "
231,November 2020 . U.S. Cyber Command and the NSA conducted offensive cyber operations against Iran to prevent interference in the upcoming U.S. elections. 
232,November 2020 . Hamas used a secret headquarters in Turkey to carry out cyberattacks a nd counter -intelligence operations . 
233,October 2020 . The U.S. government announces that Iranian hackers targeted state election websites in order to download voter registration information and conduct a voter intimidation campaign 
234,"October 2020 . A spokesperson for China’s Foreign Ministry responded to accusations that Chinese state -sponsored hackers were targeting the U.S. defense industrial base by declaring that the United States was an “empire of hacking,” c iting 2013 leaks about the NSA’s Prism program. "
235,October 2020. India's National Cyber Security Coordinator announced that c yber crimes in India cost almost $17 billion in 2019 . 
236,October 2020 . A Russian cyber espionage group hacked into an unidentified European government organization 
237,October 2020 . Iranian hackers targeted attendees of the Munich Security Conference in order to gather intelligence on foreign policy from the compromised individuals 
238,October 2020 . Greek hackers defaced the website of the Turkish Parliament and 150 Azerbaijani government websites in support of Armenia. 
239,"October 2020 . The FBI, CISA and U.S. Cyber Co mmand announced that a North Korean hacking   group had been conducting a cyber espionage campaign against individual exper ts, think tanks, and government entities in South Korea, Japan, and the United States with the purpose of collecting intelligence on na tional security issues related to the Korean peninsula, sanctions, and nuclear policy "
240,"October 2020 . The FBI and CISA announced that a Russian hacking group breached U.S. state and local government networks, as well as aviation networks, and exfiltrated da ta "
241,October 2020 . A North Korean hacker group carried out attacks against aerospace and defense companies in Russia. 
242,"October 2020 . An Iranian hacking group conducted a phishing campaign a gainst universities in Australia, Canada, the UK, the U.S., the Netherlands, Singapore, Denmark, and Sweden. "
243,"October 2020. Suspected Iranian hackers targeted government agencies and telecommunications operators in Iraq, Kuwait, Turkey, and the UAE as par t of a cyber espionage campaign "
244,October 2020 . The NSA warned that Chinese government hackers were targeting the U.S. defense industrial base as part of a wide -ranging espionage campaign 
245,October 2020 . The UK’s National Cyber Security Centre found evidence that Russian military intelligence hackers had been planning a disruptive cyber attack on the later -postponed 2020 Tokyo Olympics. 
246,"October 2020 . The U.S. indicted six Russian GRU officers for thei r involvement in hacking incidents including the 2015 and 2016 attacks on Ukrainian critical infrastructure, the 2017 NotPetya ransomware outbreak, election interference in the 2017 French elections, and others. "
247,October 2020. Iran announced that the coun try’s Ports and Maritime Organization and one other unspecified government agency had come under cyberattack 
248,October 2020 . Microsoft and U.S. Cyber Command both independently undertook operations to take down a Russian botnet ahead of the U.S. election. 
249,"October 2020 . The U.S. Department of Homeland Security revealed that hackers targeted the U.S. Census Bureau in a possible attempt to collect bulk data, alter registration information, compromise census infrastructure, or conduct DoS attacks "
250,"October 2020 . U.S. government officials revealed that suspected Chinese hackers were behind a series of attacks on entities in Russia, India, Ukraine, Kazakhstan, Kyrgyzstan, and Malaysia "
251,"October 2020 . A Chinese group targeted diplomatic entities and NGOs in Afr ica, Asia, and Europe using advanced malware adapted from code leaked by the Italian hacking tool vendor HackingTeam "
252,October 2020 . Iranian hackers exploited a serious Windows vulnerability to target Middle   Eastern network technology providers and organi zations involved in work with refugees . 
253,October 2020. A cyber mercenary group targeted government officials and private organizations in South Asia and the Middle East using a combination of methods including zero -day exploits . 
254,"October 2020 . In the mid st of escalating conflict between Armenia and Azerbaijan over the territory of Nagorno -Karabakh, an unknown intelligence service conducted a cyber espionage campaign targeting Azerbaijani government institutions . "
255,October 2020 . A previously unknown cyber espionage group was found to have been stealing documents from government agencies and corporations in Eastern Europe and the Balkans since 2011. 
256,October 2020 . The UN shipping agency the International Maritime Organization ( IMO) reported that its website and networks had been disrupted by a sophisticated cyber attack . 
257,October 2020 . North Korean hackers targeted a ministry of health and a pharmaceutical company involved in COVID -19 research and response . 
258,"September 2020 . Ame rican healthcare firm Universal Health Systems sustained a ransomware attack that caused affected hospitals to revert to manual backups, divert ambulances, and reschedule surgeries "
259,"September 2020. French shipping company CMA CGM SA saw two of its subsidiaries in Asia hit with a ransomware attack that caused significant disruptions to IT networks, though did not affect the moving of cargo "
260,"September 2020 . Russian hackers targeted government agencies in NATO member countries, and nations who cooperate with NATO. The campaign uses NATO training material as bait for a phishing scheme that infects target computers with malware that creates a persistent backdo or. "
261,September 2020 . Chinese hackers stole information related to Covid -19 vaccine development from Spanish research centers 
262,"September 2020 . Iranian hackers targeted Iranian minorities, anti -regime organizations, and resistance members using a combinati on of malware including an Android backdoor designed to steal two factor authentication codes from text messages. "
263,"September 2020 . Three hackers operating at the direction of Iran’s Islamic Revolutionary Guard Corps were indicted by the United States for attacks against workers at aerospace and satellite technology companies, as well as international government organizations. "
264,September 2020 . A ransomware attack on a German hospital may have led to the death of a patient who had to be redirected to a more distant hospital for treatment. 
265,"September 2020 . The U.S. Department of Justice indicted five Chinese hackers with ties to   Chinese intelligence services for attacks on more than 100 organizations across government, IT, social media, academia, and more "
266,"September 2020 . The FBI and CISA announced that Iranian hackers had been exploiting publicly known vulnerabilities to target U.S. organizations in the IT, government, healthcare, finance, and media sectors. "
267,September 2020 . CISA revealed that hackers ass ociated with the Chinese Ministry of State Security had been scanning U.S. government and private networks for over a year in search of networking devices that could be compromised using exploits for recently discovered vulnerabilities 
268,September 2020 . One government organization in the Middle East and one in North Africa were targeted with possible wiper malware that leveraged a ransomware -as-a-service offering that has recently become popular on cybercrime markets 
269,September 2020. Georgian officials ann ounce that COVID -19 research files at a biomedical research facility in Tbilisi was targeted as part of a cyberespionage campaign 
270,September 2020. Norway announced it had defended against two sets of cyber attacks that targeted the emails of several membe rs and employees of the Norwegian parliament as well as public employees in the Hedmark region. It later blamed Russia for the attack. 
271,"August 2020 . A North Korean hacking group targeted 28 UN officials in a spear -phishing campaign, including at least 11 individuals representing six members of the UN Security Council. "
272,"August 2020 . Hackers for hire suspected of operating on behalf of the Iranian government were found to have been working to gain access to sensitive information held by North American and Israeli entities across a range of sectors, including technology, government, d efense, and healthcare. "
273,August 2020 . New Zealand’s stock exchange faced several days of disruptions after a severe distributed denial of service attack was launched by unknown actors 
274,August 2020 . U.S. officials announced that North Korean government h ackers had been operating a campaign focused on stealing money from ATMs around the world. 
275,"August 2020 . Suspected Pakistani hackers used custom malware to steal files from victims in twenty -seven countries, most prominently in India and Afghanistan. "
276,"August 2020 . Ukrainian officials announced that a Russian hacking group had begun to conduct a phishing campaign in preparations for operations on Ukraine’s independence day   August 2020 . Taiwan accused Chinese hackers of infiltrating the information syste ms of at least ten government agencies and 6,000 email accounts to gain access to citizens’ personal data and government information. "
277,August 2020. A Chinese cyber espionage group targeted military and financial organizations across Eastern Europe Augus t 2020 . The Israeli defense ministry announced that it had successfully defended against a cyberattack on Israeli defense manufacturers launched by a suspected North Korean hacking group 
278,August 2020 . An Iranian hacking group was found to be targeting maj or U.S. companies and government agencies by exploiting recently disclosed vulnerabilities in high -end network equipment to create backdoors for other groups to use 
279,August 2020 . Pakistan announced that hackers associated with Indian intelligence agencies had targeted the mobile phones of Pakistani government officials and military personnel 
280,"August 2020 . Seven semiconductor vendors in Taiwan were the victim of a two -year espionage campaign by suspected Chinese state hackers targeting firms’ source code, software development kits, and chip designs. "
281,"August 2020 . Russian hackers compromised news sites and replaced legitimate articles with falsified posts that used fabricated quotes from military and political officials to discredit NATO among Polish, Lith uanian, and Latvian audiences. "
282,"July 2020 . Israel announced that two cyber attacks had been carried out against Israeli water infrastructure, though neither were successful "
283,July 2020 . Chinese state -sponsored hackers broke into the networks of the Vatic an to conduct espionage in the lead -up to negotiations about control over the appointment of bishops and the status of churches in China. 
284,"July 2020 . Canada, the UK, and the U.S. announced that hackers associated with Russian intelligence had attempted to steal information related to COVID -19 vaccine development "
285,July 2020 . The UK announced that it believed Russia had attempted to interfere in its 2019 general election by stealing and leaking documents related to the UK -US Free Trade Agreement 
286,"July 2020 . Media reports say a 2018 Presidential finding authorized the CIA to conduct cyber operations against Iran, North Korea, Russia, and China. The operations included disruption and public leaking of information. "
287,July 2020 . President Trump confirmed that he directly authorized a 2019 operation by US Cyber Command taking the Russian Internet Research Agency offline.   June 2020 . Uyghur and Tibetan mobile users were targeted by a mobile malware campaign originating in China that had been ongoi ng since 2013 
288,June 2020 . A hacking group affiliated with an unknown government was found to have targeted a range of Kurdish individuals in Turkey and Syria at the same time as Turkey launched its offensive into northeastern Syria. 
289,June 2020 . The most popular of the tax reporting software platforms China requires foreign companies to download to operate in the country was discovered to contain a backdoor that could allow malicious actors to conduct network reconnaissance or attempt to take remote contr ol of company systems 
290,"June 2020 . Nine human rights activists in India were targeted as part of a coordinated spyware campaign that attempted to use malware to log their keystrokes, record audio, and steal credentials "
291,June 2020 . A Moroccan journalist wa s targeted by unknown actors who sent him phishing messages that could have been used to download spyware developed by Israeli NSO group 
292,"June 2020 . North Korean state hackers sent COVID -19-themed phishing emails to more than 5 million businesses and indi viduals in Singapore, Japan, the United States, South Korea, India, and the UK in an attempt to steal personal and financial data "
293,June 2020. The Australian Prime Minister announced that an unnamed state actor had been targeting businesses and government agencies in Australia as part of a large -scale cyber attack. 
294,"June 2020. In the midst of escalating tensions between China and India over a border dispute in the Galwan Valley, Indian government agencies and banks reported being targeted by DDoS attacks reportedly originating in China "
295,"June 2020 . Suspected North Korean hackers compromised at least two defense firms in Central Europe by sending false job offers to their employees while posing as representatives from major U.S. defense contractors May 2 020. Businesses in Japan, Italy, Germany, and the UK that supply equipment and software to industrial firms were attacked in a targeted and highly sophisticated campaign by an unknown group of hackers "
296,May 2020 . The NSA announced that Russian hackers associated with the GRU had been exploiting a bug that could allow them to take remote control of U.S. servers 
297,"May 2020 . German officials found that a Russian hacking group associated with the FSB had compromised the networks of energy, water, an d power companies in Germany by compromising the firms’ suppliers. "
298,May 2020 . Cyber criminals managed to steal $10 million from Norway’s state investment fund in a business email compromise scam that tricked an employee into transferring money into an account controlled by the hackers   
299,May 2020 . Iranian hackers conducted a cyber espionage campaign targeting air transportation and government actors in Kuwait and Saudi Arabia. 
300,May 2020 . Chinese hackers accessed the travel records of nine million customer s of UK airline group EasyJet 
301,"May 2020 . Two days before Taiwanese President Tsai Ing -wen was sworn in for her second term in office, the president’s office was hacked, and files were leaked to local media outlets purporting to show infighting within the administration. The president’s office claimed the leaked documents had been doctored. "
302,May 2020 . U.S. officials accused hackers linked to the Chinese government of attempting to steal U.S. research into a coronavirus vaccine 
303,May 2020 . Suspected Chinese hackers conducted a phishing campaign to compromise Vietnamese government officials involved in ongoing territorial disputes with China in the South China Sea. 
304,"May 2020 . Suspected Iranian hackers compromised the IT systems of at leas t three telecom companies in Pakistan, and used their access to monitor targets in the country. "
305,May 2020 . Japan’s Defense Ministry announced it was investigating a large -scale cyber attack against Mitsubishi Electric that could have compromised details of new state -of-the-art missile designs. 
306,"May 2020 . Israeli hackers disrupted operations at an Iranian port for several days, causing massive backups and delays. Officials characterized the attack as a retaliation against a failed Iranian hack in April targeting the command and control systems of Israeli water distribution systems. "
307,"May 2020 . A suspected PLA hacking group targeted government -owned companies, foreign affairs ministries, and science and technology ministries across Australia, Indonesia, t he Philippines, Vietnam, Thailand, Myanmar, and Brunei. "
308,May 2020 . Operations at two Taiwanese petrochemical companies were disrupted by malware attacks. Taiwanese officials speculated that the attacks could have been linked to the upcoming inauguration of Taiwanese President Tsai Ing -wen’s second term. 
309,"April 2020 . Suspected Vietnamese government hackers used malicious apps uploaded to the Google Play app store to infect users in South and Southeast Asia with spyware capable of monitoring the target’s call logs, geolocation data, and text messages. "
310,April 2020 . Poland suggested the Russian government was being behind a series of cyber attacks on Poland’s War Studies University meant to advance a disinformation campaign undermining U.S.-Polish relations. 
311,"April 2020 . Suspected Iranian hackers unsuccessfully targeted the command and control systems   of water treatment plants, pumping stations, and sewage in Israel. "
312,"April 2020 . U.S. officials reported seeing a surge of attacks by Chinese hackers against healthcare providers, pharmaceutical manufacturers, and the U.S. Department of Health and Human services amidst the COVID -19 pandemic. Apri l 2020 . Suspected Vietnamese hackers targeted the Wuhan government and the Chinese Ministry of Emergency Management to collect information related to China’s COVID -19 response. "
313,April 2020 . Government and energy sector entities in Azerbaijan were targete d by an unknown group focused on the SCADA systems of wind turbines 
314,April 2020 . A Russian hacking group used forged diplomatic cables and planted articles on social media to undermine the governments of Estonia and the Republic of Georgia 
315,April 2020 . Suspected state -sponsored hackers targeted Chinese government agencies and Chinese diplomatic missions abroad by exploiting a zero -day vulnerability in virtual private networks servers April 2020 . Iranian government -backed hackers attempted to break into the accounts of WHO staffers in the midst of the Covid -19 pandemic 
316,March 2020 . North Korean hackers targeted individuals involved with North Korean refugees issues as part of a cyber espionage campaign 
317,March 2020 . Suspected South Korean hackers were found to have used five previously unreported software vulnerabilities to conduct a wide -ranging espionage campaign against North Korean targets 
318,March 2020 . Saudi mobile operators exploited a flaw in global telecommunications infrastructure to track the location of Saudis traveling abroad 
319,"March 2020 . Chinese hackers targeted over 75 organizations around the world in the manufacturing, media, healthcare, and nonprofit sectors as part of a broad -ranging cyber espionage campaign "
320,March 2020 . A suspe cted nation state hacking group was discovered to be targeting industrial sector companies in Iran 
321,March 2020 . Human rights activists and journalists in Uzbekistan were targeted by suspected state security hackers in a spearphishing campaign intended ins tall spyware on their devices 
322,"March 2020. Chinese cybersecurity firm Qihoo 360 accused the CIA of being involved in an 11 -year long hacking campaign against Chinese industry targets, scientific research organizations, and government agencies "
323,February 2020 . The U.S. Department of Justice indicted two Chinese nationals for laundering   cryptocurrency for North Korean hackers 
324,"February 2020 . Mexico’s economy ministry announced it had detected a cyber attack launched against the ministry’s networks , but that no sensitive data had been exposed. "
325,February 2020. The U.S. Defense Information Systems Agency announced it had suffered a data breach exposing the personal information of an unspecified number of individuals 
326,February 2020 . A hacking group of unknown origin was found to be targeting government and diplomatic targets across Southeast Asia as part of a phishing campaign utilizing custom malware 
327,February 2020 . Chinese hackers targeted Malaysian government officials to steal data related to government -backed projects in the region. 
328,February 2020 . Iran announced that it has defended against a DDoS against its communications infrastructure that caused internet outages across the country January 2020 . An Iranian hacking group launched an a ttack on the U.S. based research company Wesat as part of a suspected effort to gain access to the firm’s clients in the public and private sectors 
329,January 2020 . The UN was revealed to have covered up a hack into its IT systems in Europe conducted by an unknown but sophisticated hacking group. 
330,"January 2020 . Turkish government hackers targeted at least 30 organizations across Europe and the Middle East, including government ministries, embassies, security services, and companies. "
331,"January 2020 . Mitsubishi announces that a suspected Chinese group had target ed the company as part of a massive cyberattack that compromised personal data of 8,000 individuals as well as information relating to partnering businesses and government agencies, including projects relating to defense equipment. "
332,"January 2020 . The FBI announced that nation state hackers had breached the networks of two U.S. municipalities in 2019, exfiltrating user information and establishing backdoor access for future compromise "
333,"January 2020 . A Russian hacking group infiltrated a Ukrainian energy c ompany where Hunter Biden was previously a board member, and which has featured prominently in the U.S. impeachment debate. "
334,January 2020 . More than two dozen Pakistani government officials had their mobile phones infected with spyware developed by the Is raeli NSO Group 
335,January 2020. A suspected nation state targeted the Austrian foreign ministry as part of a cyber attack lasting several weeks. 
336,"December 2019. Iranian wiper malware was deployed against the network of Bapco, the national oil company of Bahrain.   "
337,"December 2019. Microsoft won a legal battle to take control of 50 web domains used by a North Korean hacking group to target government employees, thi nk tank experts, university staff, and others involved in nuclear proliferation issues "
338,December 2019 . An alleged Chinese state -sponsored hacking group attacked government entities and managed service providers by bypassing the two -factor authentication u sed by their targets 
339,December 2019. Chinese hackers used custom malware to target a Cambodian government organization 
340,"December 2019 . Unknown hackers stole login credentials from government agencies in 22 nations across North America, Europe, and Asia "
341,December 2019. Iran announced that it had foiled a major cyber attack by a foreign government targeting the country’s e -government infrastructure 
342,December 2019 . A suspected Vietnamese state -sponsored hacking group attacked BMW and Hyundai networks 
343,"December 2019. Russian government hackers targeted Ukrainian diplomats, government officials, military officers, law enforcement, journalists, and nongovernmental organizations in a spear phishing campaign "
344,"November 2019 . A Russian -speaking hacking group t argeted a wide range of Kazakh individuals and organizations including government agencies, military personnel, foreign diplomats, journalists, dissidents, and others through a combination of spear phishing and physical device compromise. "
345,"November 2019 . Microsoft security researchers found that in the last year, an Iranian hacker group carried out ""password -spraying attacks"" on thousands of organizations, but since October, have focused on the employees of dozens of manufacturers, suppliers, or maintainer s of industrial control system equipment and software. "
346,November 2019. An alleged non -state actor targeted the UK Labour party with a major DDoS attack that temporarily took the party’s computer systems offline. 
347,October 2019 . An Israeli cybersecurity firm was found to have sold spyware used to target senior government and military officials in at least 20 countries by exploiting a vulnerability in WhatsApp. 
348,"October 2019 . A state -sponsored hacking campaign knocked offline more than 2,000 websites across Georgia, including government and court websites containing case materials and personal data. More than 20 countries later attributed the attack to Russia . "
349,October 2019 . India announced that North Korean malware designed for data extraction had been identified in the networks of a nuclear power plant.   October 2019 . Suspected North Korean hackers attempted to steal credentials from individuals working on North Korea -related issues at the UN and other NGOs. 
350,October 2019. The NSA and GCHQ found that a Russian cyberespionage campaign had used an Iranian hacking group’s tools and infrastructure to spy on Middle Eastern targets. 
351,October 2019 . Russian hackers engaged in a campaign since 2013 targeting embassies and foreign affairs mi nistries in several European countries. 
352,"October 2019. Iranian hackers targeted more than 170 universities around the world between 2013 and 2017, stealing $3.4 billion worth of intellectual property and selling stolen data to Iranian customers. October 2019. Chinese hackers engaged in a multi -year campaign between 2010 and 2015 to acquire intellectual property from foreign companies to support the development of the Chinese C919 airliner. "
353,"October 2019 . A Chinese government -sponsored propaganda app wit h more than 100 million users was found to have been programmed to have a backdoor granting access to location data, messages, photos, and browsing history, as well as remotely activate audio recordings. "
354,October 2019. The Moroccan government targeted t wo human rights activists using spyware purchased from Israel. 
355,October 2019. A state -sponsored hacking group targeted diplomats and high -profile Russian speaking users in Eastern Europe. 
356,"October 2019 . Chinese hackers targeted entities in Germany, Mo ngolia, Myanmar, Pakistan, and Vietnam, individuals involved in UN Security Council resolutions regarding ISIS, and members of religious groups and cultural exchange nonprofits in Asia. "
357,"October 2019 . Iranian hackers conducted a series of attacks against the Trump campaign, as well as current and former U.S. government officials, journalists, and Iranians living abroad. "
358,"October 2019 . State -sponsored Chinese hackers were revealed to have conducted at least six espionage campaigns since 2013 against targets in Myanmar, Taiwan, Vietnam, Indonesia, Mongo lia, Tibet, and Xinjiang. "
359,"October 2019. The Egyptian government conducted a series of cyberattacks against journalists, academics, lawyers, human rights activists, and opposition politicians. "
360,"October 2019 . Chinese hackers were found to have target ed government agencies, embassies, and other government -related embassies across Southeast Asia in the first half of 2019. "
361,"September 2019 . The United States carried out cyber operations against Iran in retaliation for Iran’s attacks on Saudi Arabia’s oil facilities. The operation affected physical hardware, and had the goal of disrupting Iran’s ability to spread propaganda.   September 2019 . Airbus revealed that hackers targeting commercial secrets engaged in a series of supply chain attacks targeting four of the company’s subcontractors. "
362,September 2019. A Chinese state -sponsored hacking group responsible for attacks against three U.S. u tility companies in July 2019 was found to have subsequently targeted seventeen others. 
363,September 2019. Hackers with ties to the Russian government conducted a phishing campaign against the embassies and foreign affairs ministries of countries across Ea stern Europe and Central Asia. 
364,September 2019. Alleged Chinese hackers used mobile malware to target senior Tibetan lawmakers and individuals with ties to the Dalai Lama. 
365,September 2019. North Korean hackers were revealed to have conducted a phishin g campaign over the summer of 2019 targeted U.S. entities researching the North Korean nuclear program and economic sanctions against North Korea. 
366,"September 2019. Iranian hackers targeted more than 60 universities in the U.S., Australia, UK, Canada, Hon g Kong, and Switzerland in an attempt to steal intellectual property. "
367,September 2019. Huawei accused the U.S. government of hacking into its intranet and internal information systems to disrupt its business operations. 
368,"August 2019. China used compromi sed websites to distribute malware to Uyghur populations using previously undisclosed exploits for Apple, Google, and Windows phones. "
369,August 2019 . Chinese state -sponsored hackers were revealed to have targeted multiple U.S. cancer institutes to take info rmation relating to cutting edge cancer research. 
370,"August 2019 . North Korean hackers conducted a phishing campaign against foreign affairs officials in at least three countries, with a focus on those studying North Korean nuclear efforts and related international sanctions. "
371,August 2019 . Huawei technicians helped government officials in two African countries track political rivals and access encrypted communications. 
372,"August 2019 . The Czech Republic announced that the country’s Foreign Mini stry had been the victim of a cyberattack by an unspecified foreign state, later identified as Russia "
373,"August 2019. A suspected Indian cyber espionage group conducted a phishing campaign targeting Chinese government agencies and state -owned enterprises fo r information related to economic trade, defense issues, and foreign relations. "
374,August 2019 . Networks at several Bahraini government agencies and critical infrastructure providers were infiltrated by hackers linked to Iran 
