,Description,month,year,country,country,industry,hacktype
455,"January 2019. Former U.S. intelligence personnel were revealed to be working for the UAE to help the country hack into the phones of activ ists, diplomats, and foreign government officials ",January,2019,United Arab Emirates,United Arab Emirates,Government,Unknown
456,January 2019. U.S. prosecutors unsealed two indictments against Huawei and its CFO Meng Wanzhou alleging crimes ranging from wire and bank fraud to obstruction of justice and conspiracy to steal trade se crets ,January,2019,China,United States,Finance,Data Exfiltration
457,"January 2019. Security researchers reveal that Iranian hackers have been targeting the telecom and travel industries since at least 2014 in an attempt to surveil and collect the personal information of individuals in the Middle East, U.S., Europe, and Australia ",Unknown,2014,Iran,United States,Telecommunications,Data Exfiltration
458,January 2019. The U.S. Democratic National Committee revealed that it had been targeted by Russian hackers in the weeks after the 2018 midterm elections ,November,2018,Russia,United States,Government,Unknown
459,January 2019. South Koreaâs Ministry of National Defense announced that unknown hackers had compromised computer systems at the ministryâs procurement office ,January,2019,"Korea, North","Korea, South",Defense,Unknown
460,"January 2019. The U.S. Securities and Exchange Commission charged a group of hackers from the U.S., Russia, and Ukraine with the 2016 breach of the SECâs online corporate fili ng portal exploited to execute trades based on non -public information ",Unknown,2016,Russia,United States,Finance,Zero-day Exploits
461,"January 2019. Iran was revealed to have engaged in a multi -year, global DNS hijacking campaign targeting telecommunications and internet infrastructure providers as well as governmen t entities in the Middle East, Europe, and North America. ",January,2019,Iran,Unknown,Telecommunications,Denial of Service
462,"January 2019. Hackers release the personal details, private communications, and financial information of hundreds of German politicians, with targets representing every political party except th e far-right AfD. ",January,2019,Unknown,Germany,Government,Data Exfiltration
463,December 2018 . Chinese hackers stole IP and confidential business and technological information from managed service providers â companies that manage IT infrastructure for other businesses and governments ,December,2018,China,China,Government,Data Exfiltration
464,December 2018. North Korean hackers targeted the Chilean interbank network after tricking an employee into installing malware over the course of a fake job interview ,December,2018,"Korea, North",Chile,Finance,Malware
465,"December 2018. Chinese hackers were found to have compromised the EUâs communications systems, maint aining access to sensitive diplomatic cables for several years ",December,2018,China,Unknown,Telecommunications,Data Exfiltration
466,"December 2018. North Korean hackers stole the personal information of almost 1,000 North Korean defectors living in South Korea   December 2018. The United States, in coordination with Australia, Canada, the UK, and New Zealand, accused China for conducting a 12 -year campaign of cyber espionage targeting the IP and trade secrets of companies across 12 countries. The announcement was tied to the i ndictment of two Chinese hackers associated with the campaign. ",December,2018,China,United States,Unknown,Data Exfiltration
467,December 2018. U.S. Navy officials report that Chinese hackers had repeatedly stolen information from Navy contractors including ship maintenance data and missile plans. ,December,2018,China,United States,Defense,Data Exfiltration
468,December 2018. Security researchers discover a cyber campaign carried out by a Russia -linked group targeting the government agencies of Ukraine as well as multiple NATO members ,December,2018,Russia,Ukraine,Government,Unknown
469,"December 2018. Researchers report that a state -sponsored Middle Eastern hacking group had targeted telecommunications companies, government embassies, and a Russian oil company located across Pakistan, Russia, Saudi Arabia, Turkey, and North America ",December,2018,Russia,United States,Telecommunications,Unknown
470,"December 2018. Italian oil company Saipem was targeted by hackers utilizing a modified versio n of the Shamoon virus, taking down hundreds of the companyâs servers and personal computers in the UAE, Saudi Arabia, Scotland, and India ",December,2018,Saudi Arabia,United Arab Emirates,Energy,Denial of Service
471,"December 2018. North Korean hackers have reportedly targeted universities in the U.S. since May, with a particular focus on individuals with expertise in biomedical engineering ",December,2018,"Korea, North",United States,Education,Unknown
472,December 2018. The Security Service of Ukraine blocked an attempt by the Russian special services to disrupt the information systems of Ukraineâs judicial authority ,December,2018,Russia,Ukraine,Government,Unknown
473,December 2018. The Cz ech security service announced that Russian intelligence services were discovered to have been behind attacks against the Czech foreign ministry in 2017 ,December,2018,Russia,Czech Republic,Government,Unknown
474,"December 2018. Secretary of State Mike Pompeo confirmed that Chinese hackers breached the systems of an American hotel chain, stealing the personal information of over 500 million customers ",December,2018,China,United States,Government,Data Exfiltration
475,"November 2018. German security officials announced that a Russia -linked group had targeted the email accounts of several members of the German parliament, as well as the German military and several embassies ",November,2018,Russia,Germany,Government,Unknown
476,November 2018. Security researchers report that Russia launched coordinated cyber attacks against Ukrainian government and military targets before and during the attack on Ukrainian ships in late November ,November,2018,Russia,Ukraine,Government,Unknown
477,November 2018. Researchers reveal that a Mexican government -linked group used spyware to target the colleagues of a slain journalist inve stigating drug cartels ,November,2018,Unknown,Mexico,Media,Malware
478,November 2018. Security researchers discover a cyberespionage campaign targeting government websites of Lebanon and the UAE ,November,2018,United Arab Emirates,Lebanon,Government,Data Exfiltration
479,November 2018. The U.S. Justice Department indicted two Iranians for the ransomware attack affecting At lantaâs government earlier in 2018   ,November,2018,Iran,United States,Government,Malware
480,"November 2018. Chinese state media reports that the country had been the victim of multiple attacks by foreign hackers in 2018, including the theft of confidential emails, utility design plans, lists of army units, and more ",November,2018,China,China,Defense,Data Exfiltration
481,November 2018. North Korean hackers were found to have used malware to steal tens of millions of dollars from ATMs across Asia and Africa ,November,2018,"Korea, North",Unknown,Finance,Malware
482,"November 2018. Security researchers report that Russian hackers impersonating U.S. State Department offic ials attempted to gain access to the computer systems of military and law enforcement agencies, defense contractors, and media companies ",November,2018,Russia,United States,Defense,Unknown
483,November 2018. Ukraineâs CERT discovered malware in the computer systems of Ukraine state agencies believed to be i mplanted as a precursor for a future large -scale cyber attack ,November,2018,Unknown,Ukraine,Government,Malware
484,November 2018. Researchers discover that a Chinese cyberespionage group targeted a UK engineering company using techniques associated with Russia -linked groups in an attempt to avoid attribution ,November,2018,China,United Kingdom,Manufacturing,Malware
485,November 2018. The Pakistani Air Force was revealed to have been target ed by nation -state hackers with access to zero -day exploits ,November,2018,Unknown,Pakistan,Defense,Zero-day Exploits
486,November 2018. Security researchers identify an Iranian domestic surveillance campaign to monitor dissent targeting Telegram and Instagram users ,November,2018,Iran,Iran,Government,Data Exfiltration
487,November 2018. Australian defense shipbuilder Austal announced it had been the victim of a hack resulting in the theft of unclassified ship designs which were later sold online ,November,2018,Unknown,Australia,Defense,Data Exfiltration
488,"October 2018. The head of Iranâs civil defense agency announced that the country had recently neutralized a new, more sop histicated version of Stuxnet ",October,2018,Unknown,Iran,Defense,Unknown
489,October 2018. The U.S. Department of Justice indicted Chinese intelligence officers and hackers working for them for engaging in a campaign to hack into U.S. aerospace companies and steal information ,October,2018,China,United States,Defense,Data Exfiltration
490,October 2018. Security researchers link the malware used to attack a petrochemical plant in Saudi Arabia to a research institute run by the Russian government. ,October,2018,Russia,Saudi Arabia,Energy,Malware
491,October 2018. U.S. defense officials announced that Cyber Command had begun targeting individual Russian operatives to deter them from interfering in the 2018 midterm elections. ,October,2018,Russia,Russia,Government,Unknown
492,October 2018. U.S. agencies warned President Trump that that China and Russia eavesdropped on calls he made from an unsecured phone. ,October,2018,Russia,United States,Telecommunications,Unknown
493,October 2018. News reports reveal that the Israel Defense Force requested that cybersecurity companies develop proposals for monitoring the personal correspondence of social media users. ,October,2018,Unknown,Israel,Media,Data Exfiltration
494,October 2018. The U.S. Department of Homeland Security announces that it has detected a   growing volume of cyber activity targeting election infrastructure in the U.S. ahead of the 2018 midterm elections. ,October,2018,Unknown,United States,Government,Unknown
495,"October 2018. The Centers for Medicare and Medicaid Services announced that hackers had compromised a government computer system, gaining access to the p ersonal data of 75,000 people ahead of the start of ACA sign -up season. ",October,2018,Unknown,United States,Government,Data Exfiltration
496,October 2018. The Security Service of Ukraine announced that a Russian group had carried out an attempted hack on the information and telecommunication systems of Ukrainian govern ment groups ,October,2018,Russia,Ukraine,Government,Unknown
497,"October 2018. The U.S. Justice Department announces criminal charges against seven GRU officers for multiple instances of hacking against organizations including FIFA, Westinghouse Electric Company, the Organisation for the Prohibition of C hemical Weapons, and the U.S. and World Anti -Doping Agencies. ",October,2018,Unknown,United States,Unknown,Unknown
498,September 2018. Security researchers found that a Russian hacking group had used malware to target the firmware of computers at government institutions in the Balkans and in Central and Eastern Europe. ,September,2018,Russia,Unknown,Government,Malware
499,"September 2018. In a letter to Senate leaders, Sen. Ron Wyden revealed that a major technology company had alerted multiple Senate offices of attempts by foreign government hackers to gain access to the email accounts of Senators and their staff ",September,2018,Unknown,United States,Government,Unknown
500,"September 2018. Resea rchers report that 36 different governments deployed Pegasus spyware against targets in at least 45 countries, including the U.S., France, Canada, and the UK. ",September,2018,Unknown,United States,Unknown,Malware
501,"September 2018. The U.S. State Department suffers a breach of one of its unclassified email systems, exposing the personal information of several hundred employees. ",September,2018,Unknown,United States,Government,Phishing
502,September 2018. Swiss officials reveal that two Russian spies caught in the Netherlands had been preparing to use cyber tools to sabotage the Swiss defense lab analyzing the nerve a gent used to poison former Russian Agent Sergei Skripal. ,September,2018,Russia,Switzerland,Defense,Unknown
503,September 2018. Security researchers find that Iranian hackers have been surveilling Iranian citizens since 2016 as part of a mobile spyware campaign directed at ISIS supporters and members of the Kurdish ethnic group. ,Unknown,2016,Iran,Iran,Unknown,Malware
504,September 2018. Russian hackers targeted the email inboxes of religious leaders connected to Ukraine amid efforts to disassociate Ukraineâs Orthodox church from its association with Russia. ,September,2018,Russia,Ukraine,Non-profit,Misinformation
505,"September 2018 . The U.S. Department of Justice announces the indictment and e xtradition of a Russian hacker accused of participating in the hack of JP Morgan Chase in 2014, leading to the theft of data from over 80 million customers. ",Unknown,2014,Russia,United States,Finance,Data Exfiltration
506,"September 2018 . The U.S. Department of Justice announces the indictment of Park Jin Hyok, a North Korean Hacker allegedly involved in the 2014 Sony hack, the 2016 theft of $81 million from   a Bangladeshi bank, and the WannaCry ransomware attacks. ",Unknown,2014,"Korea, North",United States,Finance,Malware
507,"September 2018 . Researchers reveal a new cyber espionage campaign linked to attacks against Vietnames e defense, energy, and government organizations in 2013 and 2014. ",September,2018,Unknown,Vietnam,Government,Data Exfiltration
508,September 2018. Chinese hackers breached the systems of the Starwood hotel chain in 2014. It is estimated that the personal information of up to 500 million people was stolen ,Unknown,2014,China,United States,Non-profit,Data Exfiltration
509,"August 2018. North Korean hackers stole $13.5 million from Indiaâs Cosmos Bank after breaking into the bankâs system and authorizing thousands of unauthorized ATM withdrawals, as well as several illegal money transfers through the SWIFT financial network. ",August,2018,"Korea, North",India,Finance,Data Exfiltration
510,"August 2018 . Security researchers report that Iranian hackers had targeted the websites and login pages of 76 universities in 14 countries. The attackers stole the credentials of users who attempted to sign in, gaining access to library resources for the purp oses of intellectual property theft. ",August,2018,Iran,Unknown,Education,Data Exfiltration
511,"August 2018 . Facebook identified multiple new disinformation campaigns on its platform sponsored by groups in Russia and Iran. The campaigns targeted users in the U.S., Latin America, Britain, and the Middle East, an d involved 652 fake accounts, pages, and groups. ",August,2018,Russia,United States,Unknown,Misinformation
512,August 2018 . Microsoft announces that Russian hackers had targeted U.S. Senators and conservative think tanks critical of Russia. ,August,2018,Russia,United States,Government,Unknown
513,"July 2018 . Security researchers report that an Iranian hacking group had been targeting the industrial control systems of electric utility companies in the U.S., Europe, East Asia, and the Middle East. ",July,2018,Iran,United States,Utilities,Unknown
514,July 2018 . The Department of Homeland Security reveal that a campaign by Russian hackers in 2017 had compromised the networks of multiple U.S. electric utilities and put attackers in a position where they could have caused blackouts. ,Unknown,2017,Russia,United States,Utilities,Unknown
515,July 2018 . Senator Claire McCaskill reveals that her 2018 re -election campaig n was targeted by hackers affiliated with Russiaâs GRU intelligence agency. Attackers unsuccessfully targeted staffers in the Senatorâs office with phishing emails designed to harvest their passwords. ,July,2018,Unknown,Russia,Government,Phishing
516,"July 2018 . Researchers report that a hacking grou p linked to Iran has been active since early 2017 targeting energy, government, finance, and telecommunications entities in the Middle East. ",Unknown,2017,Iran,Unknown,Energy,Unknown
517,July 2018 . Microsoft reveals that Russian hackers had targeted the campaigns of three Democratic candidates running for the 2018 midterm elections. ,July,2018,Russia,United States,Government,Unknown
518,July 2018 . Russian hackers were found to have targeted the Italian navy with malware designed to insert a backd oor into infected networks. ,July,2018,Russia,Italy,Defense,Malware
519,"July 2018 . Singaporeâs largest healthcare institution was targeted by state -sponsored hackers, leading to the leakage of personal information for 1.5 million patients, along with prescription details for 160,000 others. ",July,2018,Unknown,Singapore,Healthcare,Data Exfiltration
520,July 2018 . Security researchers detect a spike in hacking attempts against IoT devices in Finland during the run -up President Trumpâs summit with Vladimir Putin in Helsinki. The majority of attacks originated in China.  ,July,2018,China,Finland,Technology,Unknown
521,"July 2018. Ukrainian intelligence officials claim to have thwarted a Russian attack on the network equipment of a chlorine plant in central Ukraine. The virus used in the attack is the same malware responsible for the infection of 500,000 routers worldwide in a campaign the FBI linked to state-sponsored Russian hackers. ",July,2018,Russia,Ukraine,Telecommunications,Malware
522,"July 2018. The U.S. Department of Justice announced the indictments of 12 Russian intelligence officers for carrying out large -scale cyber operations against the Democratic Party in advance of the 2016 Presidential el ection. The officersâ alleged crimes included the theft and subsequent leakage of emails from the Democratic National Committee and Hillary Clinton campaign, and the targeting of election infrastructure and local election officials in an attempt to interf ere with the election. ",Unknown,2016,Russia,United States,Government,Data Exfiltration
523,"July 2018. Security researchers report that Chinese hackers had been actively spying on political actors on both sides of the upcoming Cambodian elections. Targets include the countryâs National Election Commission, several govern ment ministries, the Cambodian Senate, at least one Member of Parliament, and multiple media outlets and human rights activists. ",July,2018,China,Cambodia,Government,Data Exfiltration
524,"July 2018. Hackers targeted the campaigns of at least two local Democratic candidates during 2018âs primary season, reporte dly using DDoS attacks to disrupt campaign websites during periods of active fundraising and positive news publicity. ",July,2018,Unknown,United States,Government,Denial of Service
525,July 2018. Australian National University (ANU) was found to have been breached by Chinese hackers in an attack believed to be motivat ed by a desire to siphon intellectual property from the institution. ,July,2018,China,Australia,Education,Unknown
526,"June 2018. Marketing data firm Exactis suffered a data breach exposing the information of 340 million people, including their political preferences, browsing habits, and purchase data. ",June,2018,Unknown,United States,Government,Data Exfiltration
527,"June 2018. Ukraine police claim that Russian hackers have been systematically targeting Ukrainian banks, energy companies, and other organizations to establish backdoors in preparation for a wide -scale strike against the country. ",June,2018,Russia,Ukraine,Finance,Unknown
528,"June 2018. Chines e hackers were found to be engaged in a cyber espionage campaign to collect data from satellite, telecom, and defense organizations in the U.S. and Southeast Asia. ",June,2018,China,United States,Telecommunications,Data Exfiltration
529,"June 2018. A Russian hacking group linked to disrupting the Peyongchang Olympics targeted individuals in France, Germany, Switzerland, Russia, and Ukraine linked to a biochemical threat conference organized by a company involved in the investigation of the poisoning of Sergei Skripal in March 2018. ",June,2018,Russia,Switzerland,Unknown,Unknown
530,"June 2018. A Chinese hacking group targeted a national data center in a Central Asian country, preparing a watering hole attack to inject malicious code onto other government websites connecting to the data center.   ",June,2018,China,Unknown,Government,Malware
531,June 2018. Researchers reveal that North Korean hackers targeted a South Korean think tank focused on national security issues. The hackers used a zero -day exploit to compromise the organizationâs website and insert a backdoor for injecting code. ,June,2018,"Korea, North","Korea, South",Defense,Zero-day Exploits
532,June 2018. The U .S. Treasury Department announced sanctions against five Russian companies and three individuals for enabling Russian intelligence and military units to conduct cyberattacks against the U.S. ,June,2018,Russia,United States,Defense,Unknown
533,"June 2018. Chinese government hackers compromised the network s of a U.S. Navy contractor, stealing 614 GB of data related to weapons, sensor, and communication systems under development for U.S. submarines. ",June,2018,China,United States,Defense,Data Exfiltration
534,"May 2018. Cyber security researchers reported that North Korean hackers had been targeting defectors throug h compromised Android apps hosted through the Google Play market, stealing device information and allowing the insertion of executable code stealing photos, contact lists, and text messages. ",May,2018,"Korea, North",Unknown,Technology,Data Exfiltration
535,"May 2018. Security researchers reveal that the Pakistani mili tary used Facebook Messenger to distribute spyware to targets in the Middle East, Afghanistan, and India in an attempt to compromise government officials, medical professionals, and others. ",May,2018,Pakistan,India,Government,Malware
536,May 2018. Turkish government hackers were discovered to be usi ng surveillance software FinFisher to infect Turkish dissidents and protesters. ,May,2018,Unknown,Turkey,Government,Unknown
537,"May 2018. An unknown group of hackers stole between $18 and $20 million dollars from Mexican banks by exploiting the SWIFT transfer system, submitting a series of false tran sfer orders to phantom accounts in other banks and emptying the accounts in dozens of branch offices. ",May,2018,Unknown,Mexico,Finance,Data Exfiltration
538,"May 2018. Within 24 hours of President Trumpâs announcement that the US would withdraw from the Iran nuclear agreement, security firms reported increa ses in Iranian hacking activity, including the sending of emails containing malware to diplomats in the Foreign Affairs ministries of US allies, as well as global telecommunication companies. ",May,2018,Iran,Iran,Defense,Malware
539,May 2018. Researchers reveal that a hacking group connected to Russian intelligence services had been conducting reconnaissance on the business and ICS networks of electric utilities in the US and UK since May 2017. ,May,2017,Russia,United States,Utilities,Data Exfiltration
540,"April 2018. A cyber espionage campaign originating in China collected data from satellite, teleco m, and defense organizations in the United States and Southeast Asia ",April,2018,China,United States,Telecommunications,Data Exfiltration
541,April 2018. Security researchers report that an Indian hacking group had been targeting government agencies and research institutions in China and Pakistan since 2013. ,Unknown,2013,India,India,Government,Unknown
542,"April 2018. Cyber security researchers reveal that North Korean hackers targeted critical infrastructure, finance, healthcare, and other industries in 17 countries using malware resembling the code used in the 2014 Sony Pictures attack.   ",Unknown,2014,"Korea, North",Unknown,Finance,Malware
543,"April 2018. Israeli cyber r esearchers revealed that Hamas had planted spyware in mobile phones owned by members of Fatah, a rival Palestinian faction ",April,2018,Unknown,Israel,Telecommunications,Malware
544,April 2018. Reports from cyber security researchers indicate that Chinese state -sponsored hacking groups have targeted Japanese de fense companies in an attempt to gain information on Tokyoâs policies towards North Korea ,April,2018,China,Japan,Government,Unknown
545,April 2018. US and UK officials issued a joint warning that Russia was deliberately targeting western critical infrastructure by compromising home and business routers ,April,2018,Russia,United States,Telecommunications,Unknown
546,"April 2018. The director of the UKâs Government Communications Headquarters (GCHQ) announced that the organization had been conducting offensive cyber operations against ISIS to suppress their propaganda, disrupt their coordination, and protect deployed military personnel ",April,2018,Unknown,United Kingdom,Defense,Unknown
547,April 2018. The chief of Germanyâs domestic intelligence services accused Russia of being behind the December 2017 attack on the governmentâs computer networks ,December,2017,Russia,Germany,Government,Unknown
548,April 2018. The UKâs National Cyber Security Centre released an advisory note warning that Russian state actors were targeting UK critical infrastructure by infiltrating supply chains ,April,2018,Russia,United Kingdom,Energy,Supply Chain
549,"April 2018. All government services of Sint. Maarten, a Caribbean island and constitute country of the Netherlands , were taken offline for a week after a cyber attack. According to local authorities, this is the third cyber attack the country has faced in just over a year. ",April,2018,Unknown,Netherlands,Government,Unknown
550,April 2018. The North Korean hacking group responsible for the SWIFT attacks was found to have targeted a Central American online casino in an attempt to siphon funds ,April,2018,"Korea, North",United States,Finance,Data Exfiltration
551,"March 2018. Online services for the city of Atlanta were disrupted after a ransomware attack struck the cityâs networks, demanding $55,000 worth of bitcoin in payment. The city w ould eventually spend approximately $2.6 million recovering from the attack. ",March,2018,Unknown,Georgia,Government,Malware
552,"March 2018. Baltimoreâs 911 dispatch system was taken down for 17 hours after a ransomware attack, forcing the city to revert to manual dispatching of emergency services ",March,2018,Unknown,United States,Government,Malware
553,"March 2018. The US Departments of Justice and Treasury accused Iran in an indictment of stealing intellectual property from more than 300 universities, as well as government agencies and financial services companies. ",March,2018,Iran,United States,Education,Data Exfiltration
554,"March 2018. The FBI and Department of H omeland Security issued a joint technical alert to warn of Russian cyber attacks against US critical infrastructure. Targets included energy, nuclear, water, aviation, and manufacturing facilities. ",March,2018,Russia,United States,Energy,Unknown
555,"March 2018 . Columbian authorities reported more than 50, 000 attacks on the web platform of Columbiaâs national voter registry during the run -up to national elections. ",March,2018,Unknown,Colombia,Government,Unknown
556,March 2018. A data breach of the company Under Armor compromised the information of 150 million users of its fitness and nutrition tracking a pp MyFitnessPal   ,March,2018,Unknown,United States,Technology,Malware
557,March 2018. Cybersecurity researchers reveal that a Chinese hacking group used malware to attack the service provider for the UK government in an attempt to gain access to contractors at various UK government departments and military org anizations ,March,2018,China,United Kingdom,Government,Malware
558,March 2018. Cybersecurity researchers announce evidence that the same North Korean hacking group linked to the SWIFT financial network attacks has been targeting several major Turkish banks and government finance agencies. ,March,2018,"Korea, North",Turkey,Finance,Unknown
559,March 2018. A UN report details attempts by North Korean hackers to compromise email accounts of the members of a UN panel enforcing trade sanctions against North Korea. ,March,2018,"Korea, North",Unknown,Non-profit,Unknown
560,"February 2018. German news reported that a Russian hacking group had breached the online networks of Germanyâs foreign and interior ministries, exfiltrating at least 17 gigabytes of data in an intrusion that went undetected for a year. ",February,2018,Russia,Germany,Government,Denial of Service
561,February 2018. The Justice Department indicted 13 Russians and three companies for the ir online efforts to interfere in the 2016 US presidential elections. ,Unknown,2016,Russia,United States,Government,Unknown
562,February 2018. The US and UK formally blame Russia for the June 2017 NotPetya ransomware attack that caused billions of dollars in damages across the world. ,June,2017,Russia,United States,Unknown,Malware
563,February 2018. A cybe rattack on the Pyeongchang Olympic Games attributed to Russia took the official Olympic website offline for 12 hours and disrupted wifi and televisions at the Pyeongchang Olympic stadium. ,February,2018,Russia,Russia,Telecommunications,Denial of Service
564,February 2018. Officials at the Department of Homeland Security confirmed that Russian hackers successfully penetrated the voter registration rolls of several US states prior to the 2016 election. ,February,2018,Russia,United States,Government,Unknown
565,"January 2018. Chinese hackers infiltrated a U.S. Navy contractor working for the Naval Undersea Warfare Center. 614 gigab ytes of material related to a supersonic anti -ship missile for use on U.S. submarines were taken, along with submarine radio room information related to cryptographic systems and the Navy submarine development unitâs electronic warfare library ",January,2018,China,United States,Defense,Data Exfiltration
566,"January 2018. China denied that the computer network it supplied to the African Union allowed it access the AUâs confidential information and transfer it to China, or that it had bugged offices in the AU headquarters that it had built. ",January,2018,China,France,Non-profit,Unknown
567,"January 2018 . A Japan -based cryptocurrency exchange reveals that it lost $530 million worth of the cryptocurrency NEM in a hack, in what amounts to possibly the largest cryptocurrency heist of all time. ",January,2018,Unknown,Japan,Finance,Malware
568,"January 2018 . Norwegian officials discover a âvery professionalâ attempt to steal patient data from a Norwegian hospital system, in an attack they speculate was connected to the upcoming NATO Trident Juncture 18 military exercise. ",January,2018,Unknown,Norway,Healthcare,Data Exfiltration
569,"January 2018. A hacking group with ties to the Lebanese General Directorate of General   Security was revealed to have been involved in a six -year campaign to steal text messages, call logs, and files from journalists, military officers, corporations, and other targets in 21 countries worldwide. ",January,2018,Unknown,Lebanon,Defense,Data Exfiltration
570,"January 2018 . The Unique Identification Authority of I ndia and its Aadhaar system are hacked by unknown actors, resulting in the personal data of more than 1 billion people being available for purchase. ",January,2018,Unknown,India,Government,Unknown
571,December 2017. French company Schneider Electric was forced to shut down operations of a power plant in the Middle East after malware compromised its industrial control systems. Analysis by security researchers indicated that the attack was sponsored by a nation -state. ,December,2017,Unknown,France,Energy,Malware
572,December 2017. The state -owned China Aerospace Science and Industry Corporation (CASI C) is alleged to have pre -installed backdoors in biometric equipment sold to Taiwan for its e -Gate border control system. The backdoors would have allowed CASIC to gather private data on both Taiwanese and foreign citizens traveling in and out of the count ry since the systemâs installation in 2012. ,December,2017,China,Taiwan,Government,Supply Chain
573,"December 2017. Iranian hackers used fake social network profiles and a fake news site to target academic researchers, human rights activists, media outlets, and political advisors ",December,2017,Iran,Unknown,Media,Misinformation
574,"November 2017. Three Chinese nationals employed at a China -based Internet security firm are indicted by a US grand jury for computer hacking, theft of trade secrets, conspiracy, and identity theft against employees of Siemens, Moodyâs Analytics, and Trimb le. ",November,2017,China,United States,Unknown,Data Exfiltration
575,"November 2017. Uber discloses that it paid hackers $100,000 to delete the stolen data of 57 million of its customers and drivers, including names, phone numbers, email addresses, and license plate numbers. ",November,2017,Unknown,United States,Transportation,Data Exfiltration
576,"November 2017. Cybersecurity researche rs report a cyberespionage campaign targeting government organizations in South America and Southeast Asia. The group, deemed to have nation -state capabilities, aimed to acquire foreign policy information from diplomatic and government entities. ",November,2017,Unknown,Unknown,Government,Data Exfiltration
577,"November 2017. Cybersecurity researchers report a sophisticated Vietnamese hacking group responsible for cyber espionage campaigns targeting the ASEAN organization, foreign corporations with an interest in Vietnamese industries, and media, human rights, and civ il society organizations. ",November,2017,Vietnam,Unknown,Media,Data Exfiltration
578,"October 2017. A major wave of ransomware infections hits media organizations, train stations, airports, and government agencies in Russia and Eastern Europe. Security researchers found strong evidence linking the attack to the creators of NotPetya, and noted that the ma lware used leaked NSA -linked exploits to move through networks. Ukrainian police later reported that the ransomware was a cover for a quiet phishing campaign undertaken by the same actor to gain remote access to financial and other confidential data. ",October,2017,Unknown,Russia,Government,Malware
579,"October 2017 . Yahoo updates the previous projections of 1 billion account affected in its   massive 2013 breach, acknowledging that all 3 billion accounts were compromised. ",Unknown,2013,Unknown,United States,Finance,Unknown
580,"October 2017. Russian hackers reported to be targeting potential attendees of CyCon, a cybersecurity conference organized by the US Army and the NATO CCD COE ",October,2017,Russia,United States,Defense,Unknown
581,October 2017 . DHS and FBI reports warn of Russia -linked hackers targeting industrial control systems at US energy companies and other critical infrastructure organizations ,October,2017,Russia,United States,Energy,Unknown
582,"October 2017. Polandâs Defense Minister reports that the country repelled a third Russian hacking attempt against companies in Poland, reportedly part of a larger campaign against Eastern European corporations. ",October,2017,Russia,Poland,Defense,Unknown
583,October 2017. North Korean hackers were found to have targeted US electric companies in a spear -phishing campaign meant to probe utilitiesâ defenses. ,October,2017,"Korea, North",United States,Utilities,Phishing
584,"October 2017. North Korean hackers allegedly broke into South Koreaâs defense data center in 2016 and stole a large trove of sensitive documents over t he course of a year, including joint U.S. -South Korean blueprints for war on the peninsula. ",Unknown,2016,"Korea, North","Korea, South",Defense,Data Exfiltration
585,"October 2017. China allegedly carried out a cyberattack against a U.S. think tank and law firm, both involved with fugitive Chinese tycoon Guo Wengui. ",October,2017,China,United States,Non-profit,Unknown
586,"October 2017. The Australian Government revealed that hackers compromised an Australian national security contractor in 2016 and stole large amounts of data, including information related to the development of the F -35 Joint Strike Fighter. ",Unknown,2016,Unknown,Australia,Defense,Data Exfiltration
587,October 2017. Reports surface that Russian government -backed hackers stole NSA hacking secrets from a contractor in 2015 by exploiting the Kaspersky antivirus software on the contractorâs home computer ,Unknown,2015,Russia,Russia,Defense,Data Exfiltration
588,"September 2017. An Iranian hacking group was respo nsible for an espionage campaign targeting the aerospace industry in the U.S. and Saudi Arabia, as well as petrochemical firms in South Korea and Saudi Arabia. ",September,2017,Iran,United States,Defense,Data Exfiltration
589,September 2017. Russia compromised the personal smartphones of NATO soldiers deployed to Poland and the Baltic states. ,September,2017,Russia,Poland,Defense,Malware
590,September 2017. Press reports say that the US Cyber Command targeted North Korea's the Reconnaissance General Bureau for denial -of-service attacks. ,September,2017,"Korea, North","Korea, South",Defense,Unknown
591,September 2017. China allegedly inserted malware into widely used PC manage ment tool. The malware targeted at least 20 major international technology firms. ,September,2017,China,Unknown,Technology,Malware
592,September 2017. The SEC reported that cybercriminals accessed the agencyâs files in 2016 and used the information gathered for illicit trading ,September,2017,Unknown,United States,Government,Data Exfiltration
593,"September 2017. Credit monitoring firm Equifax disclosed a July data breach that revealed 143 million peopleâs full names, social security numbers, birth dates, home addresses and driverâs   license numbers, as well as 209,000 credit card numbers. ",September,2017,Unknown,United States,Government,Unknown
594,September 2017. Researchers report malware infections in Cambodia designed to surveil dissidents and disrupt domestic political activity. ,September,2017,Unknown,Cambodia,Government,Malware
595,"August 2017 . Researchers inform the Estonian Information System Authority of a vulnerability potentially affecting the us e of 750,000 Estonian e -ID cards. The government replaced the compromised cards in late 2017, but claims that no cards were ever hacked. ",August,2017,Unknown,Estonia,Government,Data Exfiltration
596,August 2017. South Koreaâs Cyber Warfare Research Center reports that North Korea has been targeting South Korean B itcoin exchanges. ,August,2017,"Korea, North","Korea, South",Finance,Unknown
597,August 2017. A state -sponsored spyware campaign targeted Indian and Pakistani government security and military organizations. ,August,2017,Unknown,India,Defense,Malware
598,August 2017. The Scottish Parliament suffered from a brute force cyberattack similar to the one that com promised the British Parliament in June. ,August,2017,Unknown,United Kingdom,Government,Unknown
